skills,institution,degree_names,graduation_year,field_of_study,experience_company_names,experience_start_dates,experience_end_dates,experience_related_skills,experience_positions,experience_responsibilities,languages,langauge_proficiency_levels
"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",jawaharlal nehru university,b.tech,2019,civil,['accenture'],['Jan 2019'],['Jan 2020'],"[['SAP', 'Data Loading', 'Configuration', 'User Stories']]",['Application Development Associate'],"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
"['Software Development', 'Application Programming', 'System Analysis', 'Technical Architecture', 'Requirement Gathering', 'Client Management', 'Server Management', 'Data Science', 'Machine Learning', 'Python', 'AWS', 'MySQL', 'NoSQL', 'NLP']",university of pune,bachelor of engineering,2019,computer engineering,['empowered technologies'],['Dec 2019'],['Present'],"[['Software Development', 'Application Programming']]",['SDE'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
"['Requirement Analysis', 'Machine Learning', 'Predictive Analytics', 'Python', 'Tableau', 'PowerBI', 'R', 'SQL', 'Advanced Excel', 'Business Analytics']",sri venkateshwara university (svu),b.ca,2020,computer applications,['cdx infotech'],['August 2019'],['January 2020'],"[['Python', 'SQL', 'Tableau', 'Power BI']]",['BU Analyst Intern'],"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
"['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']","chadrasekhar university, mangalore",b.sc,2018,statistics,"['kinsgley co.', 'cis it services']","['Jul 2019', 'Jun 2018']","['Ongoing', 'May 2019']","[['Machine Learning', 'Data Modeling'], ['Data Structures', 'Data Mining']]","['Automation Engineer', 'Data Engineer']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,
"['Data Manipulation', 'Data Mining', 'Python', 'SQL', 'R Programming', 'PowerBI', 'Tableau', 'Machine Learning', 'PySpark', 'Azure Databricks', 'AWS']","baburao patil college and university, aurangabad",b.tech,2019,instrumentation,"['kln solutions', 'jb management']","['July 2019', 'January 2019']","['TILL DATE', 'June 2019']","[['Data Manipulation', 'Azure Databricks'], ['Python']]","['Junior Data Evangelist', 'Software Developer Intern']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,
"['Machine Learning', 'Text Analytics', 'Software Development', 'Data Analysis', 'Python', 'Java', 'JavaScript', 'Matplotlib']","dr. nidhiram goyal engineering college, murshidabad",b.tech,2020,cse,['rnt laboratories'],['Apr 2019'],['Jun 2019'],"[['Machine Learning', 'Data Analysis']]",['Intern Trainee'],"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,
"['Microsoft Windows 10', 'Memtest86', 'TeamViewer', 'McAfee Endpoint Security', 'Acronis True Image', 'Recuva', 'Wireshark', 'HWiNFO', 'VMware Workstation', 'PowerShell']",university of washington,bachelor of science,2015,computer science,"['expedia group', 'nordstrom', 'tableau software']","['2021', '2018', '2015']","['current', '2021', '2018']","[['Hardware troubleshooting', 'Software troubleshooting', 'McAfee Endpoint Security', 'Acronis True Image'], ['Technical support', 'Microsoft Windows 10', 'IT infrastructure management', 'Memtest86'], ['Software troubleshooting', 'Wireshark', 'Network analysis', 'Customer support']]","['Computer Technician', 'IT Support Specialist', 'Help Desk Technician']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,
"['Business Analyst', 'Data Analysis', 'Machine Learning', 'Python', 'C++', 'DotNet', 'Java', 'PyTorch']","institute of technology, banaras hindu university",b.tech (civil),2019,civil,['citi'],['March 2019'],['June 2020'],"[['Data Analysis', 'Machine Learning']]",['Financial Business Analyst Intern'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,
"['Data Analysis', 'Machine Learning', 'Data Science', 'Statistical Analysis', 'Time Series Analysis', 'Statistical Modelling', 'Data Manipulation', 'Python', 'R', 'Tableau', 'SQL', 'Django', 'PostgreSQL']",nagpur university,b.tech,2019,electronics engineering,['amz loans and mortgages'],['Oct 2019'],[None],"[['Data Analysis', 'Pipelines', 'Automation']]",['Analyst'],"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,
"['So ware Development', 'Information Technology', 'Complex Problem Solving', 'Analytical Thinking']",brown university,bachelor of science,2020,"computer science, cybersecurity","['security benefit', 'textron inc.']","['Nov 2019', 'Dec 2018']","['May 2020', 'Jun 2019']","[['So ware Development', 'Information Technology', 'Complex Problem Solving', 'Analytical Thinking'], ['So ware Development', 'Information Technology', 'Complex Problem Solving', 'Analytical Thinking']]","['Information Technology Support', 'Information Technology Intern']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,
"['Visual Studio Code', 'Git', 'Xilinx Vivado', 'MATLAB', 'AutoCAD', 'VHDL', 'Wireshark', 'Arduino IDE', 'VMware', 'JUnit']",carnegie mellon university,bachelor of science,2012,electrical and computer engineering,"['siemens healthineers', 'ppg industries', 'upmc']","['2018', '2015', '2012']","['current', '2018', '2015']","[['Visual Studio Code', 'Git', 'Xilinx Vivado', 'MATLAB'], ['Wireshark', 'Arduino IDE', 'VMware'], ['JUnit', 'AutoCAD', 'VHDL', 'VMware']]","['Computer Engineer', 'Systems Analyst', 'IT Support Specialist']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
"['Data Science', 'Logistic Regression', 'Clustering', 'Data Structures', 'Software Engineer', 'Data Analytics', 'Machine Learning', 'Visual Studio', 'Statistical Analysis', 'Linux', 'Unix', 'Python', 'Software Developer']",university of mangalore,bsc (it),2019,information technology,['systemica consultants'],['Apr 2019'],['Till date'],"[['Dashboards', 'Analytical Front-ends', 'Machine Learning', 'Statistical Modeling', 'Data Management']]",['SDE'],"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",jawaharlal nehru university,b.tech,2019,civil,['accenture'],['Jan 2019'],['Jan 2020'],"[['SAP', 'Data Loading', 'Configuration', 'User Stories']]",['Application Development Associate'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,
"['C++', 'Python', 'C', 'Software Developer', 'Prediction Modelling', 'Machine Learning']","national institute of technology (nit), hamirpur",b.tech,2020,computers,['srd institute'],['Dec 2020'],['Ongoing'],"[['Software Developer', 'Prediction Modelling', 'Machine Learning']]",['Developer Engineer'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,
"['Business Strategy', 'Consulting', 'Excel', 'Capital Markets', 'Investment Banking', 'Investment Research', 'Statistics', 'Strategy Consulting', 'VBA', 'Python', 'MATLAB', 'Machine Learning']","university of delhi, delhi",b.tech,2018,computers,"['gdmns', 'elucidata']","['Oct 2019', 'Jan 2018']","['Ongoing', 'Sep 2019']","[None, ['Python', 'R']]","['Strategy Analyst', 'Data Scientist']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,
"['Python', 'Visual Studio Code', 'Mercurial']",harvard university,b.s.,current,computer science,"['fortresms', 'travelbuddy']","['November 2022', 'January 2021']","['current', 'January 2022']","[['Python', 'Visual Studio Code'], ['Python']]","['Mobile App Developer', 'Front-End Developer']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,
"['Machine Learning', 'Data Analysis', 'Data Visualization', 'Risk Assessment', 'Debugging', 'Database Management', 'Access Control', 'IAM', 'Sail point', 'Java', 'Python', 'MySQL', 'MongoDB', 'Data Structures']","jyothi institute of engineering & technology, hyderabad",b.e. (computers),2019,computers,['delta info-nancial services'],['Jun 2019'],['Ongoing'],"[['IAM solutions', 'SailPoint', 'Java', 'security alerts', 'requirements gathering', 'design & development']]",['SDE for Software Caging'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"['Data Science', 'Customer analytics', 'Data Visualization', 'Natural language Processing', 'SQL', 'Python', 'R', 'Tableau', 'Alteryx', 'Process Improvement']",maulana malviya college for informatics,b.tech,2020,ece,['orchidia tours and travels'],['Apr 2020'],['Oct 2020'],"[['Natural language Processing', 'Customer analytics']]",['Data Managerial Intern'],"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
"['Data Analytics', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'Python', 'Data Wrangling', 'Featurization', 'Heuristics', 'Data Structures']","punjabi university, patiala",b.tech,2019,electronics and communication,['jp informatics'],['Feb 2020'],['Oct 2020'],"[['Database Management', 'Recommender System', 'Data Cleaning']]",['Intern'],"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
"['Machine Learning Engineer', 'C++', 'Technical Documentation', 'Natural Language Processing', 'SQL', 'Tableau', 'Python', 'AWS', 'Azure', 'SAP', 'OracleDB', 'Heroku']","kle college of engineering, belagavi",b.tech,2018,telecommunication,['voyagenius labs'],['Dec 2018'],['Ongoing'],"[['Machine Learning', 'Geocoding']]",['Software Developer (ML)'],"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
"['Data Analyst', 'Data Analytics', 'Data Modeling', 'Data Validation', 'R', 'Text Mining', 'Statistical Modeling', 'Python', 'Tableau', 'Forecasting', 'Clustering Analysis', 'Machine Learning', 'Natural Language Processing']","git, kolkata",b.tech,2020,cse,['adept solution'],['Nov 2019'],['Mar 2020'],"[['classification', 'transfer learning']]",['Trainee Internship'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Requirement Analysis', 'Machine Learning', 'Predictive Analytics', 'Python', 'Tableau', 'PowerBI', 'R', 'SQL', 'Advanced Excel', 'Business Analytics']",sri venkateshwara university (svu),b.ca,2020,computer applications,['cdx infotech'],['August 2019'],['January 2020'],"[['Python', 'SQL', 'Tableau', 'Power BI']]",['BU Analyst Intern'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,
"['Python', 'MySQL', 'Natural Language Processing', 'Machine Learning', 'Neural Networks', 'Flask', 'Docker', 'GIT', 'BERT', 'LSTM', 'RNN', 'Deep Learning', 'AWS', 'Tensorflow', 'Keras', 'PyTorch', 'Numpy', 'Pandas', 'Glove', 'Lucene', 'Linux', 'Devops', 'Spacy', 'GPU', 'Data Science']","skn, coimbatore",b.tech,2019,telecommunication,"['brainstrom', 'ibb tech pvt ltd']","['Dec 2019', 'Jan 2019']","['till date', 'Nov 2019']","[['BERT', 'GPT2', 'GPU', 'Docker', 'Flask Framework'], ['Dashboards', 'Real-time monitoring', 'Sensor Data']]","['Machine Learning Engineer', 'Junior Machine Learning Intern']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,
"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']","raja birsimbal college, ranchi",b.tech,2019,cse,['tml infotech'],['Mar 2019'],['till date'],"[['Machine learning', 'Deep Learning', 'Data Science']]",['Junior Machine Learning And Deep Learning Engineer'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,
"['Data Analyst', 'Data Mining', 'Data Visualization', 'Machine Learning', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'SQL Server', 'Oracle', 'Python']",garodia institute of technosciences,b.tech,2020,civil,['dictis'],['Jan 2020'],['Apr 2020'],[['decision making']],['Intern Trainee'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,
"['Statistical Modeling', 'Natural Language Processing', 'Text Mining', 'Python', 'PySpark', 'Microsoft Azure', 'Azure Databricks', 'Azure Data Factory', 'SQL', 'Machine Learning Engineer', 'Data Analyst']",prm college of engineering,b.tech,2019,information technology,['desarks'],['Nov 2019'],['Ongoing'],"[['Natural Language Processing', 'Fraud Analytics', 'Network Analysis', 'Graphic Visualization']]",['Software Developer (Machine Learning)'],"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,
"['Machine Learning', 'Data Analysis', 'Data Visualization', 'Risk Assessment', 'Debugging', 'Database Management', 'Access Control', 'IAM', 'Sail point', 'Java', 'Python', 'MySQL', 'MongoDB', 'Data Structures']","jyothi institute of engineering & technology, hyderabad",b.e. (computers),2019,computers,['delta info-nancial services'],['Jun 2019'],['Ongoing'],"[['IAM solutions', 'SailPoint', 'Java', 'security alerts', 'requirements gathering', 'design & development']]",['SDE for Software Caging'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,
"['Python', 'MySQL', 'Natural Language Processing', 'Machine Learning', 'Neural Networks', 'Flask', 'Docker', 'GIT', 'BERT', 'LSTM', 'RNN', 'Deep Learning', 'AWS', 'Tensorflow', 'Keras', 'PyTorch', 'Numpy', 'Pandas', 'Glove', 'Lucene', 'Linux', 'Devops', 'Spacy', 'GPU', 'Data Science']","skn, coimbatore",b.tech,2019,telecommunication,"['brainstrom', 'ibb tech pvt ltd']","['Dec 2019', 'Jan 2019']","['till date', 'Nov 2019']","[['BERT', 'GPT2', 'GPU', 'Docker', 'Flask Framework'], ['Dashboards', 'Real-time monitoring', 'Sensor Data']]","['Machine Learning Engineer', 'Junior Machine Learning Intern']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Machine Learning', 'Linear Regression', 'Ridge Regression', 'Lasso Regression', 'Tableau', 'Time Series Analysis']",djr college and university,b.tech,2020,it,['remiro amio'],['Jan 2019'],['Sep 2019'],[None],['Intern'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,
"['Python', 'LeetCode', 'GDB', 'GitHub', 'HTML', 'MySQL', 'Lucidchart', 'Postman', 'OWASP ZAP', 'Jira']",university of texas,bachelor of science,2015,computer science,"['charles schwab', 'sysco', 'accenture']","['2020', '2017', '2015']","['current', '2020', '2017']","[['Python', 'GDB', 'GitHub'], ['PowerShell'], ['OWASP ZAP', 'Jira']]","['Computer Programmer', 'Systems Administrator', 'Help Desk Technician']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,
"['C/C++', 'Java', 'HTML', 'CSS', 'Python', 'Portuguese (fluent)']","university of denver, denver, co",bachelor of science,2019,computer science,"['google', 'gusto']","['June 2018', 'June 2016']","['August 2018', 'October 2016']","[['Code-Level troubleshooting', 'automation', 'scripts'], ['data virtualization', 'C', 'Python', 'communications']]","['Software Engineer Intern', 'Software Engineer Intern']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",['Portuguese'],['fluent']
"['Tensorflow', 'AWS', 'Keras', 'Deep Learning', 'Pytorch', 'Flask', 'Machine Learning', 'PySpark', 'Kafka', 'XML', 'API', 'JavaScript', 'AngularJS', 'SAP', 'RestAPI', 'PHP']","pes university, bangalore",b.tech(it),2019,information technology,['at&c solutions'],['Mar 2019'],['Ongoing'],"[['MaskRCNN', 'Image Recognition', 'ML']]",['Software Developer ML'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,
"['Software Development', 'Application Programming', 'System Analysis', 'Technical Architecture', 'Requirement Gathering', 'Client Management', 'Server Management', 'Data Science', 'Machine Learning', 'Python', 'AWS', 'MySQL', 'NoSQL', 'NLP']",university of pune,bachelor of engineering,2019,computer engineering,['empowered technologies'],['Dec 2019'],['Present'],"[['Software Development', 'Application Programming']]",['SDE'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,
"['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs', 'Git']",university of illinois chicago,b.s.,2020,computer science,['book of the month'],['April 2019'],['September 2019'],[None],['Web Developer Intern'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,
"['Python', 'SQL', 'MySQL', 'Tableau', 'Power Bi', 'Pandas', 'Numpy', 'Matplotlib', 'Excel', 'Machine Learning', 'AWS(EMR,EC2,S3)', 'Cloud', 'Hive(HQL)', 'Excel']",vit-ap university,b. tech,2020,ece,['experts hub'],['May 2019'],['N/A'],[['Object Recognition']],['Intern'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
"['Machine Learning', 'Deep learning', 'Logistic Regression', 'k-means clustering', 'LSTM', 'Emperical Modelling']",inderprastha engineering college ghaziabad,b.tech(computers),2020,computers,['absolutdata research & analytics'],['Jan 2020'],['Till Date'],"[['Machine Learning', 'Empirical Mode Decomposition', 'LSTM']]",['Machine Learning Intern'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,
"['Machine Learning', 'Data Analytics', 'Project Management', 'Software Development', 'Agile Methodology', 'Business Growth']",bhubaneshwar institute of technology,b.tech,2018,electrical engineering,"['cognizant', 'cognizant']","['Apr 2020', 'Dec 2018']","['Ongoing', 'Mar 2019']","[['Data Collection', 'Solution Optimization', 'Project Management'], ['Software Development', 'Analysis', 'Middleware']]","['Consultant', 'Software Developer Analyst']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,
"['Python', 'Machine Learning', 'Text Analytics', 'Big Data Analytics', 'Data Mining', 'Natural Language Processing', 'Multivariate Analysis', 'R', 'MS-Excel']",nagpur university,b.tech,2019,instrumentation and control,['tata consultancy services ltd.'],['Nov 2019'],['Apr 2021'],[['Python']],['Junior Data Engineer'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,
"['C++', 'Python', '.Ney(VB, ASP)', 'CSS', 'Javascript', 'Visual Basic', 'Visual FoxPro', 'Analytical Process Improvement', 'Risk Assessment & Tracking', 'Data & Network Management', 'Scrum & Agile']",new york university,bachelor of science,2017,computer science,"['beckman coulter', 'blueocean biomedical', 'mathworks']","['2/2019', '1/2018', '5/2016']","['6/2020', '1/2019', '8/2016']","[None, None, None]","['Information Systems Assistant', 'IT Associate', 'Web Developer Intern']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,
"['Machine Learning', 'Software Development', 'Text Analysis', 'Natural Language Processing', 'Image Processing', 'Python', 'Data Management', 'Scikit Learn', 'C', 'C#', '.NET', 'SQL']",punjab technical university,b.tech,2020,computer science,['hs institute'],['May 2019'],['Oct 2019'],"[['Data Management', 'Machine Learning']]",['Trainee'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,
"['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']","chadrasekhar university, mangalore",b.sc,2018,statistics,"['kinsgley co.', 'cis it services']","['Jul 2019', 'Jun 2018']","['Ongoing', 'May 2019']","[['Machine Learning', 'Data Modeling'], ['Data Structures', 'Data Mining']]","['Automation Engineer', 'Data Engineer']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,
"['Machine Learning', 'Data Analytics', 'Data Manipulation', 'Data Mining', 'Deep Learning', 'Algorithms', 'Selenium', 'Jenkins', 'Python', 'Java', 'SQL', 'Quality Control']","national institute of science and technology, rourkela",b.tech,2019,information technology,['dass systems'],['Jan 2020'],['Ongoing'],"[['Testing', 'Debugging', 'Parameter Tuning']]",['Junior Machine Learning Engineer'],"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,
"['Python', 'MySQL', 'Natural Language Processing', 'Machine Learning', 'Neural Networks', 'Flask', 'Docker', 'GIT', 'BERT', 'LSTM', 'RNN', 'Deep Learning', 'AWS', 'Tensorflow', 'Keras', 'PyTorch', 'Numpy', 'Pandas', 'Glove', 'Lucene', 'Linux', 'Devops', 'Spacy', 'GPU', 'Data Science']","skn, coimbatore",b.tech,2019,telecommunication,"['brainstrom', 'ibb tech pvt ltd']","['Dec 2019', 'Jan 2019']","['till date', 'Nov 2019']","[['BERT', 'GPT2', 'GPU', 'Docker', 'Flask Framework'], ['Dashboards', 'Real-time monitoring', 'Sensor Data']]","['Machine Learning Engineer', 'Junior Machine Learning Intern']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,
"['Data Analytics', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'Python', 'Data Wrangling', 'Featurization', 'Heuristics', 'Data Structures']","punjabi university, patiala",b.tech,2019,electronics and communication,['jp informatics'],['Feb 2020'],['Oct 2020'],"[['Database Management', 'Recommender System', 'Data Cleaning']]",['Intern'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,
"['Statistical Analysis', 'C', 'OpenCV', 'Deep Learning', 'Computer Vision', 'R', 'Exploratory Data Analysis', 'Linear Regression', 'Logistic Regression', 'Risk Analyst', 'Machine Learning', 'Financial Risk Management']","dbb university, himachal",b.tech,2020,it,['hsbc bank'],['Apr 2020'],['till Date'],"[['Data Analysis', 'Financial Services', 'Fiat Currency Stabilities']]",['Data Analyst'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
"['Data Analyst', 'Data Analytics', 'Data Analysis', 'Time Series Analysis', 'Business Analytics', 'Predictive Modeling', 'Regression Analysis', 'Image Processing', 'Data Visualization', 'Linear Regression', 'Statistical Analysis', 'Requirement Analysis', 'SQL', 'Tableau', 'Python']",sikkim manipal university,bsc,2019,information technology,['sanrachna sgt university'],['Jun 2019'],['Jun 2020'],"[['Data Analysis', 'EDA', 'modelling', 'RShiny', 'text classifier']]",['Deputy Data Analyst'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"['Machine Learning', 'Text Analytics', 'Software Development', 'Data Analysis', 'Python', 'Java', 'JavaScript', 'Matplotlib']","dr. nidhiram goyal engineering college, murshidabad",b.tech,2020,cse,['rnt laboratories'],['Apr 2019'],['Jun 2019'],"[['Machine Learning', 'Data Analysis']]",['Intern Trainee'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,
"['Business Analytics', 'Data Analysis', 'Machine Learning', 'SQL', 'Firebase', 'AWS', 'GCP', 'Cloud Infrastructure', 'Python', 'Text Mining', 'Database Management and Processing', 'Time Series Analysis', 'Research Analysis']",lucknow university,b.sc,2019,statistics,['e express'],['Aug 2020'],['Till Date'],[['big data analytics']],['Associate Data Scientist'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,
